chybná_věta,opravená_věta
"Viděli jsme krásného motýly.","Viděli jsme krásného motýla."
"Kluci se bavila u televize.","Kluci se bavili u televize."
"Děvčata běhaly po louce.","Děvčata běhala po louce."
"Holky tancovaly na parketu.","Holky tancovaly na parketu."
"Psi štěkaly celou noc.","Psi štěkali celou noc."
"Děti si hrály na hřišti.","Děti si hrály na hřišti."
"Stromy se skláněly pod větrem.","Stromy se skláněly pod větrem."
"Přátelé se loučily na nádraží.","Přátelé se loučili na nádraží."
"Kola se roztočily rychle.","Kola se roztočila rychle."
"Města se rozrůstaly velmi rychle.","Města se rozrůstala velmi rychle."
"Lidé se radovaly na festivalu.","Lidé se radovali na festivalu."
"Kočky se schovávaly před psem.","Kočky se schovávaly před psem."
"Dívky tancovaly v krojích.","Dívky tancovaly v krojích."
"Hory se tyčily do nebes.","Hory se tyčily do nebes."
"Města se rozvíjely rychle.","Města se rozvíjela rychle."
"Zvířata se shromažďovaly u napajedla.","Zvířata se shromažďovala u napajedla."
"Děti si kreslily na chodník.","Děti si kreslily na chodník."
"Bratři se hádaly kvůli hračce.","Bratři se hádali kvůli hračce."
"Ptáci zpívaly v korunách stromů.","Ptáci zpívali v korunách stromů."
"Rodiče se radovaly ze svých dětí.","Rodiče se radovali ze svých dětí."
"Holubi přistávaly na střeše.","Holubi přistávali na střeše."
"Koťata si hrály s klubkem vlny.","Koťata si hrála s klubkem vlny."
"Listy se barvily do červena.","Listy se barvily do červena."
"Děti zpívaly ve školním sboru.","Děti zpívaly ve školním sboru."
"Automobily se řadily do kolon.","Automobily se řadily do kolon."
"Stromy se kymácely ve větru.","Stromy se kymácely ve větru."
"Lodě se pohupovaly na vlnách.","Lodě se pohupovaly na vlnách."
"Dívky se chystaly na ples.","Dívky se chystaly na ples."
"Kluci si hrály na schovávanou.","Kluci si hráli na schovávanou."
"Být nebo nebít, to je otázka.","Být nebo nebýt, to je otázka."
"Když jsem bil malí, hrál jsem si na vojáka.","Když jsem byl malý, hrál jsem si na vojáka."
"Pracki pryč! Ti prášky nezabírají.","Pracky pryč! Ty prášky nezabírají."
"Ráno jsem si dal kafe a virazil do práce.","Ráno jsem si dal kafe a vyrazil do práce."
"Včera jsme bičovali koně na pastvině.","Včera jsme byli na pastvině."
"Musíme mýt auto každý týden.","Musíme mít auto každý týden."
"Chlapci se myly v potoce.","Chlapci se myli v potoce."
"Chci si mýt nové auto.","Chci si mít nové auto."
"Matka myla podlahu.","Matka myla podlahu."
"Oni měly na sobě krásné šaty.","Oni měli na sobě krásné šaty."
"Sestry si psaly deník.","Sestry si psaly deník."
"Stromy se kácely v lese.","Stromy se kácely v lese."
"Když jsme byly malé, hrály jsme si venku.","Když jsme byli malí, hráli jsme si venku."
"Dědeček mi vyprávěl příběhy z mládí.","Dědeček mi vyprávěl příběhy z mládí."
