original,corrected
"Na obloze se oběvyly první hvězdy.","Na obloze se objevily první hvězdy."
"Všechny dívky se divili nad krásným výhledem.","Všechny dívky se divily nad krásným výhledem."
"Tyhle schody jsou příliž strmé.","Tyhle schody jsou příliš strmé."
"Děvčata se smáli a tancovali až do rána.","Děvčata se smála a tancovala až do rána."
"Byly jsme včera na výletě u jezera.","Byly jsme včera na výletě u jezera."
"Petr a Pavel si hrály na hřišti.","Petr a Pavel si hráli na hřišti."
"Babička nám upekla vynikající koláče.","Babička nám upekla vynikající koláče."
"Koťata si hrali na dvoře s míčkem.","Koťata si hrála na dvoře s míčkem."
"Včera jsme slyšely krásnou hudbu.","Včera jsme slyšeli krásnou hudbu."
"Tyto květiny vykvetli velmi brzy.","Tyto květiny vykvetly velmi brzy."
"On se nikdy nechtěl smířyt s tím, že musí odejít.","On se nikdy nechtěl smířit s tím, že musí odejít."
"Ráda vařím a zkouším nové recepty na oběd.","Ráda vařím a zkouším nové recepty na oběd."
"Kluci hrají fotbal na zahradě, když začalo pršet.","Kluci hrají fotbal na zahradě, když začalo pršet."
"Včera jsem viděl zajímaví film o přírodě.","Včera jsem viděl zajímavý film o přírodě."
"Moc rád cestujy a poznávám nové kultury.","Moc rád cestuji a poznávám nové kultury."
"Na nádraží jsme čekaly dlouho, než přijel vlak.","Na nádraží jsme čekali dlouho, než přijel vlak."
"Brzo ráno jsme se vydali na výlet do hor.","Brzo ráno jsme se vydali na výlet do hor."
"Tyto knyhy jsou velmi zajímavé a užitečné pro studenty.","Tyto knihy jsou velmi zajímavé a užitečné pro studenty."
"Jsem rád, že jsem mohl pomoct svím přátelům.","Jsem rád, že jsem mohl pomoct svým přátelům."
"Včera odpoledne jsme si užívaly krásného počasí.","Včera odpoledne jsme si užívali krásného počasí."
